filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	20	303	5	0.0165016501650165	0.0	0.032323153045726895
	1	86	1363	18	0.013206162876008804	0.0	0.04353586776960204
	2	111	1482	21	0.01417004048582996	0.0	0.030932144605650927
	3	125	2007	36	0.017937219730941704	0.0	0.03257679427250216
	4	172	2064	53	0.02567829457364341	0.0	0.046432690211430365
	5	148	2035	39	0.019164619164619166	0.0	0.0315987734619441
	6	137	1901	26	0.013677012098895318	0.0	0.030327437915981546
	7	134	2207	35	0.0158586316266425	0.0	0.033239421784139175
	8	46	836	12	0.014354066985645933	0.0	0.02714091449158494
	9	63	1312	19	0.014481707317073171	0.0	0.024026415501307397
	10	55	900	19	0.021111111111111112	0.0	0.05623345709138466
	11	110	2275	32	0.014065934065934066	0.0	0.030126368137921283
	12	179	2921	34	0.011639849366655255	0.0	0.029192461171099016
	13	31	624	21	0.03365384615384615	0.0	0.037933486380318605
	14	3	41	1	0.024390243902439025	0.0	0.036084391824351615
	15	1	9	0	0.0	0.0	0.0
	16	116	2021	26	0.012864918357248886	0.0	0.02455269460607894
	17	195	3783	52	0.013745704467353952	0.0	0.024970112483693456
	18	315	6142	92	0.014978834255942689	0.0	0.038944564840291435
	19	152	2781	43	0.015462064005753326	0.0	0.030321935404123534
	20	244	4089	57	0.013939838591342627	0.0	0.03894216316392653
	21	209	2964	60	0.020242914979757085	0.0	0.044237097818860385
