filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
Beaumont_Clarice	0	1	6	0	0.0	0.0	0.0
Beaumont_Clarice	1	17	584	7	0.011986301369863013	0.0	0.019672341319163428
Beaumont_Clarice	2	1	22	0	0.0	0.0	0.0
Beaumont_Clarice	3	5	147	2	0.013605442176870748	0.0	0.01879880479520956
Beaumont_Clarice	4	3	61	0	0.0	0.0	0.0
Beaumont_Clarice	5	1	6	0	0.0	0.0	0.0
Beaumont_Clarice	6	2	49	1	0.02040816326530612	0.0119047619047619	0.01683587574253684
Beaumont_Clarice	7	60	1401	24	0.017130620985010708	0.0	0.030750983709204045
Beaumont_Clarice	8	32	622	5	0.008038585209003215	0.0	0.02869699653166047
Beaumont_Clarice	9	9	199	6	0.03015075376884422	0.0	0.025767088266017448
Beaumont_Clarice	10	11	209	4	0.019138755980861243	0.0	0.02477233332562245
Beaumont_Clarice	11	4905	73696	1119	0.015183999131567521	0.0	0.034485627678411936
