filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	4	5	0	0.0	0.0	0.0
	1	1	3	0	0.0	0.0	0.0
	2	2	12	0	0.0	0.0	0.0
	3	6	119	2	0.01680672268907563	0.0	0.02360517073218012
	4	18	273	0	0.0	0.0	0.0
	5	2	30	0	0.0	0.0	0.0
	6	5	100	1	0.01	0.0	0.01863389981249822
	7	5	26	1	0.038461538461538464	0.0	0.05590169943749475
	8	6	67	0	0.0	0.0	0.0
	9	1	2	0	0.0	0.0	0.0
	10	1	2	0	0.0	0.0	0.0
	11	5	73	2	0.0273972602739726	0.0	0.03334535294402376
	12	4	34	3	0.08823529411764706	0.0	0.125
	13	5	66	3	0.045454545454545456	0.0434782608695652	0.04403240474606347
	14	2	30	2	0.06666666666666667	0.06944444444444439	0.019641855032959673
	15	7	56	0	0.0	0.0	0.0
	16	6	80	3	0.0375	0.0185185185185185	0.039359612793028145
	17	6	70	6	0.08571428571428572	0.07738095238095236	0.054486923062473304
	18	1	16	0	0.0	0.0	0.0
	19	7	58	1	0.017241379310344827	0.0	0.029074190231479
	20	15	97	9	0.09278350515463918	0.0	0.07916578137468135
	21	7	57	2	0.03508771929824561	0.0	0.029172402068681994
	22	1	2	0	0.0	0.0	0.0
	23	1	2	0	0.0	0.0	0.0
	24	3	44	2	0.045454545454545456	0.0476190476190476	0.041808149812907675
	25	8	87	4	0.04597701149425287	0.0	0.06463882846376462
	26	11	121	1	0.008264462809917356	0.0	0.02010075630518422
	27	3	31	0	0.0	0.0	0.0
	28	12	97	2	0.020618556701030927	0.0	0.02730885675806131
	29	8	46	1	0.021739130434782608	0.0	0.08838834764831845
	30	5	61	2	0.03278688524590164	0.0	0.039714292975924534
	31	3	66	0	0.0	0.0	0.0
	32	13	102	1	0.00980392156862745	0.0	0.018490006540840945
	33	5	49	1	0.02040816326530612	0.0	0.04969039949999532
	34	2	8	0	0.0	0.0	0.0
	35	3	35	0	0.0	0.0	0.0
	36	7	71	1	0.014084507042253521	0.0	0.03436040663720247
	37	1	2	0	0.0	0.0	0.0
	38	1	2	0	0.0	0.0	0.0
	39	7	116	7	0.0603448275862069	0.0	0.06365000197425566
	40	5	40	1	0.025	0.0	0.023537557657892512
	41	13	157	5	0.03184713375796178	0.0	0.05254195091090625
	42	6	40	0	0.0	0.0	0.0
	43	7	143	3	0.02097902097902098	0.0	0.04233133879496751
	44	19	201	6	0.029850746268656716	0.0	0.09358824630944099
	45	2	2	0	0.0	0.0	0.0
	46	1	2	0	0.0	0.0	0.0
	47	8	51	0	0.0	0.0	0.0
	48	13	143	3	0.02097902097902098	0.0	0.03214257325575635
	49	3	60	0	0.0	0.0	0.0
	50	1	7	0	0.0	0.0	0.0
	51	1	2	0	0.0	0.0	0.0
	52	1	2	0	0.0	0.0	0.0
	53	6	68	3	0.04411764705882353	0.0	0.04922815317870835
	54	29	395	10	0.02531645569620253	0.0	0.04519845852307262
	55	13	234	2	0.008547008547008548	0.0	0.030721417131285483
	56	1	2	0	0.0	0.0	0.0
	57	1	3	0	0.0	0.0	0.0
	58	7	208	4	0.019230769230769232	0.0	0.028586617591900107
	59	4	68	6	0.08823529411764706	0.0641025641025641	0.09917476720930112
	60	25	277	6	0.021660649819494584	0.0	0.043836743558691806
	61	2	28	0	0.0	0.0	0.0
	62	1	2	0	0.0	0.0	0.0
	63	4	47	0	0.0	0.0	0.0
