filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
Marmontel_Contes	0	550	8495	136	0.016009417304296645	0.0	0.03882985181479386
Marmontel_Contes	1	161	2356	76	0.03225806451612903	0.0	0.06203391864294587
Marmontel_Contes	2	2	30	1	0.03333333333333333	0.0227272727272727	0.03214121732666121
Marmontel_Contes	3	1	6	0	0.0	0.0	0.0
Marmontel_Contes	4	270	3391	60	0.017693895606015926	0.0	0.03432075294252933
Marmontel_Contes	5	64	1061	15	0.01413760603204524	0.0	0.03609331992172142
Marmontel_Contes	6	8	48	1	0.020833333333333332	0.0	0.016070608663330602
Marmontel_Contes	7	187	2635	59	0.022390891840607212	0.0	0.04825763582231125
Marmontel_Contes	8	1	1	0	0.0	0.0	0.0
Marmontel_Contes	9	5	10	1	0.1	0.0	0.1118033988749895
Marmontel_Contes	10	253	3938	57	0.014474352463179279	0.0	0.02817746458268145
Marmontel_Contes	11	546	7094	145	0.020439808288694673	0.0	0.04542889671810106
Marmontel_Contes	12	264	3601	88	0.024437656206609277	0.0	0.04308967132298837
Marmontel_Contes	13	126	1927	34	0.017644006227296314	0.0	0.036291679418445744
Marmontel_Contes	14	48	688	8	0.011627906976744186	0.0	0.020457434968004465
Marmontel_Contes	15	42	701	12	0.017118402282453638	0.0	0.029441918675068263
Marmontel_Contes	16	182	2521	82	0.032526775089250295	0.0	0.04869965656248248
Marmontel_Contes	17	12	173	3	0.017341040462427744	0.0	0.04897439797434656
Marmontel_Contes	18	335	4671	85	0.018197388139584672	0.0	0.029775574220698757
Marmontel_Contes	19	152	2380	34	0.014285714285714285	0.0	0.03494234832953666
Marmontel_Contes	20	1	4	0	0.0	0.0	0.0
Marmontel_Contes	21	211	3213	34	0.010582010582010581	0.0	0.029278907374769316
Marmontel_Contes	22	549	7209	132	0.018310445276737412	0.0	0.0415136624133397
Marmontel_Contes	23	552	8363	166	0.019849336362549326	0.0	0.03570104690534211
Marmontel_Contes	24	269	4773	103	0.021579719254137857	0.0	0.03401284857186848
Marmontel_Contes	25	407	6906	129	0.018679409209383144	0.0	0.035600013082796186
Marmontel_Contes	26	514	8799	106	0.012046823502670757	0.0	0.0295286039295826
Marmontel_Contes	27	263	3341	100	0.029931158335827598	0.0	0.058251278639032095
Marmontel_Contes	28	436	7160	149	0.020810055865921787	0.0	0.04420094534154608
Marmontel_Contes	29	446	8065	150	0.018598884066955982	0.0	0.03386855475653068
Marmontel_Contes	30	133	2574	44	0.017094017094017096	0.0	0.032699556877038356
Marmontel_Contes	31	1	1	0	0.0	0.0	0.0
Marmontel_Contes	32	51	714	31	0.04341736694677871	0.0	0.08418484285909011
Marmontel_Contes	33	364	5262	101	0.01919422272900038	0.0	0.03857809707784445
Marmontel_Contes	34	321	5781	142	0.02456322435564781	0.0	0.04658447689800917
Marmontel_Contes	35	110	1659	32	0.019288728149487643	0.0	0.04535489018570948
Marmontel_Contes	36	524	8348	128	0.015333013895543843	0.0	0.032599154074626914
Marmontel_Contes	37	77	868	21	0.024193548387096774	0.0	0.05153961808962448
