filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
Beckford_Vathek	0	8	122	6	0.04918032786885246	0.0	0.1164048520810241
Beckford_Vathek	1	6	104	1	0.009615384615384616	0.0	0.03402069087198857
Beckford_Vathek	2	4	58	2	0.034482758620689655	0.0	0.05
Beckford_Vathek	3	3	53	0	0.0	0.0	0.0
Beckford_Vathek	4	7	106	3	0.02830188679245283	0.0	0.048414420448598755
Beckford_Vathek	5	3	60	4	0.06666666666666667	0.0769230769230769	0.053731262968129044
Beckford_Vathek	6	2	46	1	0.021739130434782608	0.0192307692307692	0.027196414661021018
Beckford_Vathek	7	20	296	5	0.016891891891891893	0.0	0.03399674640158195
Beckford_Vathek	8	5	75	1	0.013333333333333334	0.0	0.02129588549999799
Beckford_Vathek	9	6	135	5	0.037037037037037035	0.01666666666666665	0.05811884926722413
Beckford_Vathek	10	3	98	0	0.0	0.0	0.0
Beckford_Vathek	11	4	76	2	0.02631578947368421	0.0	0.03125
Beckford_Vathek	12	10	157	2	0.012738853503184714	0.0	0.03884918608232686
Beckford_Vathek	13	35	611	26	0.0425531914893617	0.0	0.04566998717972004
Beckford_Vathek	14	4	67	1	0.014925373134328358	0.0	0.0185185185185185
Beckford_Vathek	15	20	327	5	0.01529051987767584	0.0	0.0256664641554859
Beckford_Vathek	16	13	130	1	0.007692307692307693	0.0	0.02773500981126146
Beckford_Vathek	17	37	570	16	0.028070175438596492	0.0	0.06269459413237365
Beckford_Vathek	18	8	68	2	0.029411764705882353	0.0	0.02438299245470853
Beckford_Vathek	19	15	284	8	0.028169014084507043	0.0	0.05009159995756545
Beckford_Vathek	20	13	262	6	0.022900763358778626	0.0	0.0578456798077555
Beckford_Vathek	21	4	76	2	0.02631578947368421	0.01785714285714285	0.022469745343067685
Beckford_Vathek	22	17	269	16	0.05947955390334572	0.0	0.057976843659071034
Beckford_Vathek	23	7	140	3	0.02142857142857143	0.0	0.03971825260401677
Beckford_Vathek	24	10	249	5	0.020080321285140562	0.0	0.01938292380767558
Beckford_Vathek	25	4	61	1	0.01639344262295082	0.0	0.0172413793103448
Beckford_Vathek	26	2	65	1	0.015384615384615385	0.0121951219512195	0.01724650685820846
Beckford_Vathek	27	19	297	9	0.030303030303030304	0.0	0.043232677216048745
Beckford_Vathek	28	24	446	11	0.02466367713004484	0.0	0.052104970300115384
Beckford_Vathek	29	4	65	0	0.0	0.0	0.0
Beckford_Vathek	30	7	112	3	0.026785714285714284	0.0	0.025276073480281106
Beckford_Vathek	31	19	322	11	0.034161490683229816	0.0	0.03583057045339884
